String Identifier	English	Spanish	French	Chinese Simplified	Dutch	Italian	Russian	Korean	Hungarian	German	Slovak	Ukrainian	Vietnamese	Persian	Romanian	Portuguese	Finnish	Bulgarian	Indonesian	Turkish	Japanese	Czech	Catalan	Serbian	Norwegian Bokmål	Chinese Traditional	Hindi	Polish	Arabic	Swedish	Danish	Thai	Greek	Hebrew	Slovenian	Norwegian Nynorsk	Croatian	English (United Kingdom)	Malay	Armenian	Macedonian	Afrikaans	Tamil	Uzbek	Esperanto	Portuguese (Brazil)	Filipino / Tagalog	Kazakh	Belarusian (Belarus)	Albanian	Lithuanian	Latvian (Latvia)	Estonian	Azerbaijani	Icelandic (Iceland)	Swahili	Latin	Welsh (United Kingdom)	Telugu
hydrogen	Hydrogen	Hidrógeno	Hydrogène	氢	Waterstof	Idrogeno	Водород	수소	Hidrogén	Wasserstoff	Vodík	Водень	Hiđrô	هیدروژن	Hidrogen	Hidrogénio	Vety	Водород	Hidrogen	Hidrojen	水素	Vodík	Hidrogen	Водоник	Hydrogen	氫	हाइड्रोजन	Wodór	هيدروجين	Väte	Brint	ไฮโดรเจน	Υδρογόνο	מימן	Vodik	Hydrogen	Vodik	Hydrogen	Hidrogen	Ջրածին	Водород	Waterstof	நீரியம்	Vodorod	Hidrogeno	Hidrogênio	Idroheno	Сутек	Вадарод	Hidrogjeni	Vandenilis	Ūdeņradis	Vesinik	Hidrogen	Vetni	Hidrojeni	Hydrogenium	Hydrogen	హైడ్రోజన్
helium	Helium	Helio	Hélium	氦	Helium	Elio	Гелий	헬륨	Hélium	Helium	Hélium	Гелій	Heli	هلیم	Heliu	Hélio	Helium	Хелий	Helium	Helyum	ヘリウム	Helium	Heli	Хелијум	Helium	氦	हीलियम	Hel	هيليوم	Helium	Helium	ฮีเลียม	Ήλιο	הליום	Helij	Helium	Helij	Helium	Helium	Հելիում	Хелиум	Helium	ஈலியம்	Geliy	Heliumo	Hélio	Helyo	Гелий	Гелій	Heliumi	Helis	Hēlijs	Heelium	Helium	Helín	Heli	Helium	Heliwm	హీలియం
lithium	Lithium	Litio	Lithium	锂	Lithium	Litio	Литий	리튬	Lítium	Lithium	Lítium	Літій	Liti	لیتیم	Litiu	Lítio	Litium	Литий	Litium	Lityum	リチウム	Lithium	Liti	Литијум	Litium	鋰	लिथियम	Lit	ليثيوم	Litium	Lithium	ลิเทียม	Λίθιο	ליתיום	Litij	Litium	Litij	Lithium	Litium	Լիթիում	Литиум	Litium	லித்தியம்	Litiy	Litio	Lítio	Lityo	Литий	Літый	Litiumi	Litis	Litijs	Liitium	Litium	Litín	Lithi	Lithium	Lithiwm	లిథియం
beryllium	Beryllium	Berilio	Béryllium	铍	Beryllium	Berillio	Бериллий	베릴륨	Berillium	Beryllium	Berýlium	Берилій	Berili	بریلیم	Beriliu	Berílio	Beryllium	Берилий	Berilium	Berilyum	ベリリウム	Beryllium	Beril·li	Берилијум	Beryllium	鈹	बेरेलियम	Beryl	بيريليوم	Beryllium	Beryllium	เบริลเลียม	Βηρύλλιο	בריליום	Berilij	Beryllium	Berilij	Beryllium	Berilium	Բերիլիում	Берилиум	Berillium	பெரிலியம்	Berilliy	Berilio	Berílio	Berilyo	Бериллий	Берылій	Beriliumi	Berilis	Berilijs	Berüllium	Berillium	Beryllín	Berili	Beryllium	Beryliwm	బెరీలియం
boron	Boron	Boro	Bore	硼	Boor	Boro	Бор	붕소	Bór	Bor	Bór	Бор	Bo	بور	Bor	Boro	Boori	Бор	Boron	Bor	ホウ素	Bor	Bor	Бор	Bor	硼	बोरान	Bor	بورون	Bor	Bor	โบรอน	Βόριο	בורון	Bor	Bor	Bor	Boron	Boron	Բոր	Бор	Boor	போரான்	Bor	Boro	Boro	Boron	Бор	Бор	Bori	Boras	Bors	Boor	Bor	Bór	Boroni	Borium	Boron	బోరాన్
carbon	Carbon	Carbono	Carbone	碳	Koolstof	Carbonio	Углерод	탄소	Szén	Kohlenstoff	Uhlík	Вуглець	Cacbon	کربن	Carbon	Carbono	Hiili	Въглерод	Karbon	Karbon	炭素	Uhlík	Carboni	Угљеник	Karbon	碳	कार्बन	Węgiel	كربون	Kol	Carbon	คาร์บอน	Άνθρακας	פחמן	Ogljik	Karbon	Ugljik	Carbon	Karbon	Ածխածին	Јаглерод	Koolstof	கரிமம்	Uglerod	Karbono	Carbono	Karbon	Көміртек	Вуглярод	Karboni	Anglis	Ogleklis	Süsinik	Karbon	Kolefni	Kaboni	Carbonium	Carbon	కార్బన్
nitrogen	Nitrogen	Nitrógeno	Azote	氮	Stikstof	Azoto	Азот	질소	Nitrogén	Stickstoff	Dusík	Азот	Nitơ	نیتروژن	Nitrogen	Nitrogénio	Typpi	Азот	Nitrogen	Azot	窒素	Dusík	Nitrogen	Азот	Nitrogen	氮	नाइट्रोजन	Azot	نيتروجين	Kväve	Nitrogen	ไนโตรเจน	Άζωτο	חנקן	Dušik	Nitrogen	Dušik	Nitrogen	Nitrogen	Ազոտ	Азот	Stikstof	நைதரசன்	Azot	Nitrogeno	Nitrogênio	Nitroheno	Азот	Азот	Azoti	Azotas	Slāpeklis	Lämmastik	Azot	Köfnunarefni	Nitrojeni	Nitrogenium	Nitrogen	నత్రజని
oxygen	Oxygen	Oxígeno	Oxygène	氧	Zuurstof	Ossigeno	Кислород	산소	Oxigén	Sauerstoff	Kyslík	Кисень	Ôxy	اکسیژن	Oxigen	Oxigênio	Happi	Кислород	Oksigen	Oksijen	酸素	Kyslík	Oxigen	Кисеоник	Oksygen	氧	ऑक्सीजन	Tlen	أكسجين	Syre	Oxygen	ออกซิเจน	Οξυγόνο	חמצן	Kisik	Oksygen	Kisik	Oxygen	Oksigen	Թթվածին	Кислород	Suurstof	ஆக்சிசன்	Kislorod	Oksigeno	Oxigênio	Oksiheno	Оттек	Кісларод	Oksigjeni	Deguonis	Skābeklis	Hapnik	Oksigen	Súrefni	Oksijeni	Oxygenium	Ocsigen	ఆక్సిజన్
fluorine	Fluorine	Flúor	Fluor	氟	Fluor	Fluoro	Фтор	플루오린	Fluor	Fluor	Fluór	Фтор	Flo	فلوئور	Fluor	Flúor	Fluori	Флуор	Fluor	Flor	フッ素	Fluor	Fluor	Флуор	Fluor	氟	फ्लोरीन	Fluor	فلور	Fluor	Fluor	ฟลูออรีน	Φθόριο	פלואור	Fluor	Fluor	Fluor	Fluorine	Fluorin	Ֆտոր	Флуор	Fluoor	புளோரின்	Ftor	Fluoro	Flúor	Plorina	Фтор	Фтор	Fluori	Fluoras	Flors	Fluor	Flüor	Flúor	Florini	Fluorum	Fflworin	ఫ్లోరిన్
neon	Neon	Neón	Néon	氖	Neon	Neon	Неон	네온	Neon	Neon	Neón	Неон	Neon	نئون	Neon	Néon	Neon	Неон	Neon	Neon	ネオン	Neon	Neó	Неон	Neon	氖	नियोन	Neon	نيون	Neon	Neon	นีออน	Νέον	נאון	Neon	Neon	Neon	Neon	Neon	Նեոն	Неон	Neon	நியான்	Neon	Neono	Neônio	Neon	Неон	Неон	Neoni	Neonas	Neons	Neoon	Neon	Neon	Neoni	Neon	Neon	నియాన్
sodium	Sodium	Sodio	Sodium	钠	Natrium	Sodio	Натрий	소듐 (나트륨)	Nátrium	Natrium	Sodík	Натрій	Natri	سدیم	Sodiu	Sódio	Natrium	Натрий	Natrium	Sodyum	ナトリウム	Sodík	Sodi	Натријум	Natrium	鈉	सोडियम	Sód	صوديوم	Natrium	Natrium	โซเดียม	Νάτριο	נתרן	Natrij	Natrium	Natrij	Sodium	Natrium	Նատրիում	Натриум	Natrium	சோடியம்	Natriy	Natrio	Sódio	Sodyo	Натрий	Натрый	Natriumi	Natris	Nātrijs	Naatrium	Natrium	Natrín	Natiri	Natrium	Sodiwm	సోడియం
magnesium	Magnesium	Magnesio	Magnésium	镁	Magnesium	Magnesio	Магний	마그네슘	Magnézium	Magnesium	Horčík	Магній	Magiê	منیزیم	Magneziu	Magnésio	Magnesium	Магнезий	Magnesium	Magnezyum	マグネシウム	Hořčík	Magnesi	Магнезијум	Magnesium	鎂	मैग्नीशियम	Magnez	مغنزيوم	Magnesium	Magnesium	แมกนีเซียม	Μαγνήσιο	מגנזיום	Magnezij	Magnesium	Magnezij	Magnesium	Magnesium	Մագնեզիում	Магнезиум	Magnesium	மக்னீசியம்	Magniy	Magnezio	Magnésio	Magnesyo	Магний	Магній	Magnezi	Magnis	Magnijs	Magneesium	Maqnezium	Magnesín	Magnesi	Magnesium	Magnesiwm	మెగ్నీషియం
aluminium	Aluminum	Aluminio	Aluminium	铝	Aluminium	Alluminio	Алюминий	알루미늄	Alumínium	Aluminium	Hliník	Алюміній	Nhôm	آلومینیم	Aluminiu	Alumínio	Alumiini	Алуминий	Alumunium	Alüminyum	アルミニウム	Hliník	Alumini	Алуминијум	Aluminium	鋁	एल्युमिनियम	Glin	ألمنيوم	Aluminium	Aluminium	อะลูมิเนียม	Αργίλιο	אלומיניום	Aluminij	Aluminium	Aluminij	Aluminium	Aluminium	Ալյումին	Алуминиум	Aluminium	அலுமீனியம்	Alyuminiy	Aluminio	Alumínio	Aluminyo	Алюминий	Алюміній	Alumini	Aliuminis	Alumīnijs	Alumiinium	Alüminium	Ál	Alumini	Aluminium	Alwminiwm	అల్యూమినియం
silicon	Silicon	Silicio	Silicium	硅	Silicium	Silicio	Кремний	규소	Szilícium	Silicium	Kremík	Кремній	Silic	سیلیسیم	Siliciu	Silício	Pii	Силиций	Silikon	Silisyum	ケイ素	Křemík	Silici	Силицијум	Silisium	矽	सिलिकॉन	Krzem	سيليكون	Kisel	Silicium	ซิลิคอน	Πυρίτιο	צורן	Silicij	Silisium	Silicij	Silicon	Silikon	Սիլիցիում	Силициум	Silikon	சிலிக்கான்	Kremniy	Silicio	Silício	Silikon	Кремний	Крэмній	Siliciumi	Silicis	Silīcijs	Räni	Silisium	Kísill	Silikoni	Silicium	Silicon	సిలికాన్
phosphorus	Phosphorus	Fósforo	Phosphore	磷	Fosfor	Fosforo	Фосфор	인	Foszfor	Phosphor	Fosfor	Фосфор	Phốtpho	فسفر	Fosfor	Fósforo	Fosfori	Фосфор	Fosfor	Fosfor	リン	Fosfor	Fòsfor	Фосфор	Fosfor	磷	फास्फोरस	Fosfor	فوسفور	Fosfor	Fosfor	ฟอสฟอรัส	Φωσφόρος	זרחן	Fosfor	Fosfor	Fosfor	Phosphorus	Fosforus	Ֆոսֆոր	Фосфор	Fosfor	பாசுபரசு	Fosfor	Fosforo	Fósforo	Pospora	Фосфор	Фосфар	Fosfori	Fosforas	Fosfors	Fosfor	Fosfor	Fosfór	Posferi	Phosphorus	Ffosfforws	ఫాస్ఫరస్
sulfur	Sulfur	Azufre	Soufre	硫	Zwavel	Zolfo	Сера	황	Kén	Schwefel	Síra	Сірка	Lưu huỳnh	گوگرد	Sulf	Enxofre	Rikki	Сяра	Belerang	Kükürt	硫黄	Síra	Sofre	Сумпор	Svovel	硫	गंधक	Siarka	كبريت	Svavel	Svovl	กำมะถัน	Θείο	גופרית	Žveplo	Svovel	Sumpor	Sulphur	Sulfur	Ծծումբ	Сулфур	Swael	கந்தகம்	Oltingugurt	Sulfuro	Enxofre	Asupre	Күкірт	Сера	Sulfuri	Siera	Sērs	Väävel	Kükürd	Brennisteinn	Sulfuri	Sulfur	Sylffwr	సల్ఫర్
chlorine	Chlorine	Cloro	Chlore	氯	Chloor	Cloro	Хлор	염소	Klór	Chlor	Chlór	Хлор	Clo	کلر	Clor	Cloro	Kloori	Хлор	Klor	Klor	塩素	Chlor	Clor	Хлор	Klor	氯	क्लोरीन	Chlor	كلور	Klor	Klor	คลอรีน	Χλώριο	כלור	Klor	Klor	Klor	Chlorine	Klorin	Քլոր	Хлор	Chloor	குளோரின்	Xlor	Kloro	Cloro	Kloro	Хлор	Хлор	Klori	Chloras	Hlors	Kloor	Xlor	Klór	Klorini	Chlorum	Clorin	క్లోరిన్
argon	Argon	Argón	Argon	氩	Argon	Argon	Аргон	아르곤	Argon	Argon	Argón	Аргон	Argon	آرگون	Argon	Árgon	Argon	Аргон	Argon	Argon	アルゴン	Argon	Argó	Аргон	Argon	氬	आर्गन	Argon	أرغون	Argon	Argon	อาร์กอน	Αργό	ארגון	Argon	Argon	Argon	Argon	Argon	Արգոն	Аргон	Argon	ஆர்கான்	Argon	Argono	Argônio	Argon	Аргон	Аргон	Argoni	Argonas	Argons	Argoon	Arqon	Argon	Arigoni	Argon	Argon	ఆర్గాన్
potassium	Potassium	Potasio	Potassium	钾	Kalium	Potassio	Калий	포타슘 (칼륨)	Kálium	Kalium	Draslík	Калій	Kali	پتاسیم	Potasiu	Potássio	Kalium	Калий	Kalium	Potasyum	カリウム	Draslík	Potassi	Калијум	Kalium	鉀	पोटैशियम	Potas	بوتاسيوم	Kalium	Kalium	โพแทสเซียม	Κάλιο	אשלגן	Kalij	Kalium	Kalij	Potassium	Kalium	Կալիում	Калиум	Kalium	பொட்டாசியம்	Kaliy	Kalio	Potássio	Potasa	Калий	Калій	Kaliumi	Kalis	Kālijs	Kaalium	Kalium	Kalín	Kali	Kalium	Potasiwm	పొటాషియం
calcium	Calcium	Calcio	Calcium	钙	Calcium	Calcio	Кальций	칼슘	Kalcium	Calcium	Vápnik	Кальцій	Canxi	کلسیم	Calciu	Cálcio	Kalsium	Калций	Kalsium	Kalsiyum	カルシウム	Vápník	Calci	Калцијум	Kalsium	鈣	कैल्सियम	Wapń	كالسيوم	Kalcium	Calcium	แคลเซียม	Ασβέστιο	סידן	Kalcij	Kalsium	Kalcij	Calcium	Kalsium	Կալցիում	Калциум	Kalsium	கல்சியம்	Kalsiy	Kalcio	Cálcio	Kalsyo	Кальций	Кальцый	Kalcium	Kalcis	Kalcijs	Kaltsium	Kalsium	Kalsín	Kalisi	Calcium	Calsiwm	కాల్షియం
