Element	English	Esperanto
Hydrogen	From the Greek word <i>hydro</i> (water), and <i>genes</i> (forming)	El la grekaj vortoj <i>hydro</i> (akvo) kaj <i>genes</i> (formanta)
Helium	From the Greek word <i>helios</i>, the sun	El la greka vorto <i>helios</i>, la suno
Lithium	From the Greek word <i>lithos</i>, stone	El la greka vorto <i>lithos</i>, ŝtono
Beryllium	From the Greek word <i>beryllos</i>, beryl	El la greka vorto <i>beryllos</i>, berilo
Boron	From the Arabic word <i>Buraq</i>, Persian <i>Burah</i>	El la araba vorto <i>Buraq</i>, persa <i>Burah</i>
Carbon	From the Latin word <i>carbo</i>, charcoal	El la latina vorto <i>carbo</i>, karbo
Nitrogen	From the Latin word <i>nitrum</i>, Greek <i>Nitron</i>, native soda; and <i>genes</i>, forming	El la latina vorto <i>nitrum</i>, greka <i>Nitron</i>, natura sodo; kaj <i>genes</i>, formanta
Oxygen	From the Greek word <i>oxys</i>, acid, and <i>genes</i>, forming	El la grekaj vortoj <i>oxys</i>, acido, kaj <i>genes</i>, formanta
Fluorine	From the Latin and French <i>fluere</i>, flow or flux	El la latina kaj franca <i>fluere</i>, flui aŭ flukso
Neon	From the Greek word <i>neos</i>, new	El la greka vorto <i>neos</i>, nova
Sodium	From the English word, <i>soda</i>; Medieval Latin, <i>sodanum</i>: a headache remedy	El la angla vorto <i>soda</i>; mezepoka latina <i>sodanum</i>: rimedo kontraŭ kapdoloro
Magnesium	From Magnesia, district in Thessaly	El Magnesia, distrikto en Tesalio
Aluminium	From the Latin word <i>alumen</i>, alum	El la latina vorto <i>alumen</i>, alumo
Silicon	From the Latin word <i>silex</i>, silicis, flint	El la latina vorto <i>silex</i>, silicis, siliko
Phosphorus	From the Greek <i>phosphoros</i>, light bearing; ancient name for the planet Venus when appearing before sunrise	El la greka <i>phosphoros</i>, lumoportanta; antikva nomo por la planedo Venuso apanta antaŭ sunleviĝo
Sulfur	Known to the ancients; referred to in Genesis as brimstone	Konata al la antikvuloj; menciita en Genezo kiel brulstono
Chlorine	From the Greek word <i>chloro</i>, greenish yellow	El la greka vorto <i>chloro</i>, flavverda
Argon	From the Greek <i>argos</i>, inactive	El la greka <i>argos</i>, neaktiva
Potassium	From the English word, <i>potash</i> - pot ashes; Latin <i>kalium</i>, Arab <i>qali</i>, alkali	El la angla vorto <i>potash</i> - potcindroj; latina <i>kalium</i>, araba <i>qali</i>, alkalo
Calcium	From the Latin word <i>calx</i>, lime	El la latina vorto <i>calx</i>, kalko
Scandium	From the Latin word <i>Scandia</i>, Scandinavia	El la latina vorto <i>Scandia</i>, Skandinavio
Titanium	From the Latin <i>titans</i>, the first sons of the Earth, Greek mythology	El la latina <i>titans</i>, la unuaj filoj de la Tero, greka mitologio
Vanadium	Named after Scandinavian goddess, Vanadis	Nomita laŭ la skandinava diino Vanadis
Chromium	From the Greek word <i>chroma</i>, color	El la greka vorto <i>chroma</i>, koloro
Manganese	From the Latin word <i>magnes</i>, magnet, from magnetic properties of pyrolusite	El la latina vorto <i>magnes</i>, magneto, el la magnetaj ecoj de piroluzito
Iron	From the Latin word <i>ferrum</i>	El la latina vorto <i>ferrum</i>
Cobalt	From the German word <i>Kobald</i>, goblin or evil spirit; also from the Greek <i>cobalos</i>, mine	El la germana vorto <i>Kobald</i>, koboldo aŭ malbona spirito; ankaŭ el la greka <i>cobalos</i>, mino
