Element	English	Macedonian
Hydrogen	From the Greek word <i>hydro</i> (water), and <i>genes</i> (forming)	Од грчкиот збор <i>hydro</i> (вода) и <i>genes</i> (формирање)
Helium	From the Greek word <i>helios</i>, the sun	Од грчкиот збор <i>helios</i>, сонце
Lithium	From the Greek word <i>lithos</i>, stone	Од грчкиот збор <i>lithos</i>, камен
Beryllium	From the Greek word <i>beryllos</i>, beryl	Од грчкиот збор <i>beryllos</i>, берил
Boron	From the Arabic word <i>Buraq</i>, Persian <i>Burah</i>	Од арапскиот збор <i>Buraq</i>, персиски <i>Burah</i>
Carbon	From the Latin word <i>carbo</i>, charcoal	Од латинскиот збор <i>carbo</i>, јаглен
Nitrogen	From the Latin word <i>nitrum</i>, Greek <i>Nitron</i>, native soda; and <i>genes</i>, forming	Од латинскиот збор <i>nitrum</i>, грчки <i>Nitron</i>, природна сода; и <i>genes</i>, формирање
Oxygen	From the Greek word <i>oxys</i>, acid, and <i>genes</i>, forming	Од грчкиот збор <i>oxys</i>, киселина, и <i>genes</i>, формирање
Fluorine	From the Latin and French <i>fluere</i>, flow or flux	Од латинскиот и францускиот <i>fluere</i>, тек или флукс
Neon	From the Greek word <i>neos</i>, new	Од грчкиот збор <i>neos</i>, нов
Sodium	From the English word, <i>soda</i>; Medieval Latin, <i>sodanum</i>: a headache remedy	Од англискиот збор <i>soda</i>; средновековен латински <i>sodanum</i>: лек за главоболка
Magnesium	From Magnesia, district in Thessaly	Од Магнезија, округ во Тесалија
Aluminium	From the Latin word <i>alumen</i>, alum	Од латинскиот збор <i>alumen</i>, алум
Silicon	From the Latin word <i>silex</i>, silicis, flint	Од латинскиот збор <i>silex</i>, silicis, кремен
Phosphorus	From the Greek <i>phosphoros</i>, light bearing; ancient name for the planet Venus when appearing before sunrise	Од грчкиот <i>phosphoros</i>, носач на светлина; античко име за планетата Венера кога се pojавувала пред изгрев
Sulfur	Known to the ancients; referred to in Genesis as brimstone	Познат на античките; се спомнува во Битие како сумпор
Chlorine	From the Greek word <i>chloro</i>, greenish yellow	Од грчкиот збор <i>chloro</i>, зеленикаво жолта
Argon	From the Greek <i>argos</i>, inactive	Од грчкиот <i>argos</i>, неактивен
Potassium	From the English word, <i>potash</i> - pot ashes; Latin <i>kalium</i>, Arab <i>qali</i>, alkali	Од англискиот збор <i>potash</i> - пепел од тенџере; латински <i>kalium</i>, арапски <i>qali</i>, алкали
Calcium	From the Latin word <i>calx</i>, lime	Од латинскиот збор <i>calx</i>, вар
Scandium	From the Latin word <i>Scandia</i>, Scandinavia	Од латинскиот збор <i>Scandia</i>, Скандинавија
