Element	English	Malay
Hydrogen	From the Greek word <i>hydro</i> (water), and <i>genes</i> (forming)	Daripada perkataan Greek <i>hydro</i> (air) dan <i>genes</i> (membentuk)
Helium	From the Greek word <i>helios</i>, the sun	Daripada perkataan Greek <i>helios</i>, matahari
Lithium	From the Greek word <i>lithos</i>, stone	Daripada perkataan Greek <i>lithos</i>, batu
Beryllium	From the Greek word <i>beryllos</i>, beryl	Daripada perkataan Greek <i>beryllos</i>, beryl
Boron	From the Arabic word <i>Buraq</i>, Persian <i>Burah</i>	Daripada perkataan Arab <i>Buraq</i>, Parsi <i>Burah</i>
Carbon	From the Latin word <i>carbo</i>, charcoal	Daripada perkataan Latin <i>carbo</i>, arang
Nitrogen	From the Latin word <i>nitrum</i>, Greek <i>Nitron</i>, native soda; and <i>genes</i>, forming	Daripada perkataan Latin <i>nitrum</i>, Greek <i>Nitron</i>, soda semula jadi; dan <i>genes</i>, membentuk
Oxygen	From the Greek word <i>oxys</i>, acid, and <i>genes</i>, forming	Daripada perkataan Greek <i>oxys</i>, asid, dan <i>genes</i>, membentuk
Fluorine	From the Latin and French <i>fluere</i>, flow or flux	Daripada perkataan Latin dan Perancis <i>fluere</i>, mengalir atau fluks
Neon	From the Greek word <i>neos</i>, new	Daripada perkataan Greek <i>neos</i>, baru
Sodium	From the English word, <i>soda</i>; Medieval Latin, <i>sodanum</i>: a headache remedy	Daripada perkataan Inggeris <i>soda</i>; Latin Pertengahan <i>sodanum</i>: ubat sakit kepala
Magnesium	From Magnesia, district in Thessaly	Daripada Magnesia, daerah di Thessaly
Aluminium	From the Latin word <i>alumen</i>, alum	Daripada perkataan Latin <i>alumen</i>, alum
Silicon	From the Latin word <i>silex</i>, silicis, flint	Daripada perkataan Latin <i>silex</i>, silicis, batu api
Phosphorus	From the Greek <i>phosphoros</i>, light bearing; ancient name for the planet Venus when appearing before sunrise	Daripada Greek <i>phosphoros</i>, pembawa cahaya; nama kuno untuk planet Zuhrah ketika muncul sebelum matahari terbit
Sulfur	Known to the ancients; referred to in Genesis as brimstone	Diketahui oleh orang zaman dahulu; disebut dalam Kejadian sebagai belerang
Chlorine	From the Greek word <i>chloro</i>, greenish yellow	Daripada perkataan Greek <i>chloro</i>, kuning kehijauan
Argon	From the Greek <i>argos</i>, inactive	Daripada Greek <i>argos</i>, tidak aktif
Potassium	From the English word, <i>potash</i> - pot ashes; Latin <i>kalium</i>, Arab <i>qali</i>, alkali	Daripada perkataan Inggeris <i>potash</i> - abu periuk; Latin <i>kalium</i>, Arab <i>qali</i>, alkali
Calcium	From the Latin word <i>calx</i>, lime	Daripada perkataan Latin <i>calx</i>, kapur
Scandium	From the Latin word <i>Scandia</i>, Scandinavia	Daripada perkataan Latin <i>Scandia</i>, Scandinavia
Titanium	From the Latin <i>titans</i>, the first sons of the Earth, Greek mythology	Daripada Latin <i>titans</i>, anak-anak pertama Bumi, mitologi Greek
Vanadium	Named after Scandinavian goddess, Vanadis	Dinamakan sempena dewi Scandinavia, Vanadis
Chromium	From the Greek word <i>chroma</i>, color	Daripada perkataan Greek <i>chroma</i>, warna
Manganese	From the Latin word <i>magnes</i>, magnet, from magnetic properties of pyrolusite	Daripada perkataan Latin <i>magnes</i>, magnet, daripada sifat magnetik pirolusit
Iron	From the Latin word <i>ferrum</i>	Daripada perkataan Latin <i>ferrum</i>
Cobalt	From the German word <i>Kobald</i>, goblin or evil spirit; also from the Greek <i>cobalos</i>, mine	Daripada perkataan Jerman <i>Kobald</i>, goblin atau roh jahat; juga daripada Greek <i>cobalos</i>, lombong
Nickel	From the German word <i>Nickel</i> (Satan), and from kupfernickel, Old Nick's copper	Daripada perkataan Jerman <i>Nickel</i> (Syaitan), dan daripada kupfernickel, tembaga Old Nick
Copper	From the Latin word <i>cuprum</i>, from the island of Cyprus	Daripada perkataan Latin <i>cuprum</i>, dari pulau Cyprus
Zinc	From the German word <i>Zink</i>, of obscure origin	Daripada perkataan Jerman <i>Zink</i>, asal usul tidak jelas
Gallium	From the Latin word <i>Gallia</i>, France; also from Latin, <i>gallus</i>, a translation of Lecoq, a cock	Daripada perkataan Latin <i>Gallia</i>, Perancis; juga daripada Latin <i>gallus</i>, terjemahan Lecoq, seekor ayam jantan
Germanium	From the Latin word <i>Germania</i>, Germany	Daripada perkataan Latin <i>Germania</i>, Jerman
Arsenic	From the Latin word <i>arsenicum</i>, Greek <i>arsenikon</i>	Daripada perkataan Latin <i>arsenicum</i>, Greek <i>arsenikon</i>
Selenium	From the Greek word <i>Selene</i>, moon	Daripada perkataan Greek <i>Selene</i>, bulan
Bromine	From the Greek word <i>bromos</i>, stench	Daripada perkataan Greek <i>bromos</i>, bau busuk
Krypton	From the Greek word <i>kryptos</i>, hidden	Daripada perkataan Greek <i>kryptos</i>, tersembunyi
Rubidium	From the Latin word <i>rubidus</i>, deepest red	Daripada perkataan Latin <i>rubidus</i>, merah tua
Strontium	Named after Strontian, a town in Scotland	Dinamakan sempena Strontian, sebuah bandar di Scotland
Yttrium	Named after Ytterby, a village in Sweden near Vauxholm	Dinamakan sempena Ytterby, sebuah kampung di Sweden berhampiran Vauxholm
Zirconium	From the Persian <i>zargun</i>, gold like	Daripada Parsi <i>zargun</i>, seperti emas
Niobium	Named after Niobe, the daughter of Tantalu	Dinamakan sempena Niobe, anak perempuan Tantalus
Molybdenum	From the Greek word <i>molybdo</i>, lead	Daripada perkataan Greek <i>molybdo</i>, plumbum
Technetium	From the Greek word <i>technetos</i>, artificial	Daripada perkataan Greek <i>technetos</i>, buatan
Ruthenium	From the Latin word <i>Ruthenia</i>, Russia	Daripada perkataan Latin <i>Ruthenia</i>, Rusia
Rhodium	From the Greek word <i>rhodon</i>, rose	Daripada perkataan Greek <i>rhodon</i>, mawar
Palladium	Palladium was named after the asteroid Pallas; Pallas was the Greek goddess of wisdom	Palladium dinamakan sempena asteroid Pallas; Pallas ialah dewi kebijaksanaan Greek
Silver	The Latin word for silver is <i>argentum</i>	Perkataan Latin untuk perak ialah <i>argentum</i>
Cadmium	From the Latin word <i>cadmia</i>, Greek <i>kadmeia</i> - the ancient name for calamine, zinc carbonate	Daripada perkataan Latin <i>cadmia</i>, Greek <i>kadmeia</i> - nama kuno untuk kalamanit, zink karbonat
Indium	From the brilliant indigo line in its spectrum	Daripada garis indigo cerah dalam spektrumnya
Tin	The Latin word for tin is stannum	Perkataan Latin untuk timah ialah stannum
Antimony	From the Greek word <i>anti</i> plus <i>monos</i> - a metal not found alone	Daripada perkataan Greek <i>anti</i> tambah <i>monos</i> - logam yang tidak dijumpai bersendirian
Tellurium	From the Latin word <i>tellus</i>, earth	Daripada perkataan Latin <i>tellus</i>, bumi
Iodine	From the Greek word <i>iodes</i>, violet	Daripada perkataan Greek <i>iodes</i>, ungu
Xenon	From the Greek word <i>xenon</i>, stranger	Daripada perkataan Greek <i>xenon</i>, orang asing
Caesium	From the Latin word <i>caesius</i>, sky blue	Daripada perkataan Latin <i>caesius</i>, biru langit
Barium	From the Greek word <i>barys</i>, heavy	Daripada perkataan Greek <i>barys</i>, berat
Lanthanum	From the Greek word <i>lanthanein</i>, to lie hidden	Daripada perkataan Greek <i>lanthanein</i>, tersembunyi
Cerium	Cerium was named for the asteroid Ceres	Cerium dinamakan sempena asteroid Ceres
Praseodymium	From the Greek word <i>prasios</i>, green, and <i>didymos</i>, twin	Daripada perkataan Greek <i>prasios</i>, hijau, dan <i>didymos</i>, kembar
Neodymium	From the Greek word <i>neos</i> meaning new, and <i>didymos</i>, twin	Daripada perkataan Greek <i>neos</i> bermakna baru, dan <i>didymos</i>, kembar
Promethium	Named after the Greek <i>Prometheus</i>, who, according to mythology, stole fire from heaven	Dinamakan sempena Greek <i>Prometheus</i>, yang menurut mitologi, mencuri api dari syurga
Samarium	From <i>samarskite</i>, a mineral named after Russian mine official, Col. Samarski	Daripada <i>samarskite</i>, mineral yang dinamakan sempena pegawai lombong Rusia, Kolonel Samarski
Europium	Europium was named after Europe	Europium dinamakan sempena Eropah
Gadolinium	From <i>gadolinite</i>, a mineral named for Gadolin, a Finnish chemist	Daripada <i>gadolinite</i>, mineral yang dinamakan sempena Gadolin, seorang ahli kimia Finland
Terbium	Terbium was named after Ytterby, a town in Sweden	Terbium dinamakan sempena Ytterby, sebuah bandar di Sweden
Dysprosium	From the Greek word <i>dysprositos</i>, meaning hard to get at	Daripada perkataan Greek <i>dysprositos</i>, bermakna sukar didekati
Holmium	From the Latin word <i>Holmia</i> meaning Stockholm	Daripada perkataan Latin <i>Holmia</i> bermakna Stockholm
Erbium	Erbium was named after Ytterby, a town in Sweden	Erbium dinamakan sempena Ytterby, sebuah bandar di Sweden
Thulium	Named after <i>Thule</i>, the earliest name for Scandinavia	Dinamakan sempena <i>Thule</i>, nama awal Scandinavia
Ytterbium	Ytterbium was named after Ytterby, a town in Sweden	Ytterbium dinamakan sempena Ytterby, sebuah bandar di Sweden
Lutetium	Lutetia is the ancient name for Paris	Lutetia ialah nama kuno untuk Paris
Hafnium	From <i>Hafinia</i>, the Latin name for Copenhagen	Daripada <i>Hafinia</i>, nama Latin untuk Copenhagen
Tantalum	Named after <i>Tantalos</i>, a Greek mythological character, father of Niobe	Dinamakan sempena <i>Tantalos</i>, watak mitologi Greek, bapa Niobe
Tungsten	From Swedish, <i>tung sten</i> meaning heavy stone	Daripada bahasa Sweden <i>tung sten</i> bermakna batu berat
Rhenium	From the Latin word <i>Rhenus</i> meaning Rhine	Daripada perkataan Latin <i>Rhenus</i> bermakna Rhine
Osmium	From the Greek word <i>osme</i>, meaning smell	Daripada perkataan Greek <i>osme</i>, bermakna bau
Iridium	From the Latin word <i>iris</i> meaning rainbow	Daripada perkataan Latin <i>iris</i> bermakna pelangi
Platinum	From the Spanish word <i>platina</i>, meaning silver	Daripada perkataan Sepanyol <i>platina</i>, bermakna perak
Gold	From the Latin word <i>aurum</i> meaning gold	Daripada perkataan Latin <i>aurum</i> bermakna emas
Mercury	From the Latin word <i>hydrargyrum</i> meaning liquid silver	Daripada perkataan Latin <i>hydrargyrum</i> bermakna perak cair
Thallium	From Greek <i>thallos</i>, meanin a green shoot or twig	Daripada Greek <i>thallos</i>, bermakna pucuk hijau atau ranting
Lead	From the Latin word <i>plumbum</i>	Daripada perkataan Latin <i>plumbum</i>
Bismuth	From the German <i>Weisse Masse</i>, meaning white mass	Daripada Jerman <i>Weisse Masse</i>, bermakna jisim putih
Polonium	Named after Poland, native country of Madam Curie	Dinamakan sempena Poland, negara asal Madame Curie
Astatine	From the Greek <i>astatos</i> meaning unstable	Daripada Greek <i>astatos</i> bermakna tidak stabil
Radon	The name was derived from <i>radium</i>; called niton at first, from the Latin word <i>nitens</i> meaning shining	Nama itu diterbitkan daripada <i>radium</i>; pada mulanya dipanggil niton, daripada perkataan Latin <i>nitens</i> bermakna bersinar
Francium	Francium was named after France	Francium dinamakan sempena Perancis
Radium	From the Latin word <i>radius</i> meaning ray	Daripada perkataan Latin <i>radius</i> bermakna sinar
Actinium	From the Greek <i>aktis, aktinos</i>, meaning beam or ray	Daripada Greek <i>aktis, aktinos</i>, bermakna sinar atau cahaya
Thorium	Named after <i>Thor</i>, Scandinavian god of war	Dinamakan sempena <i>Thor</i>, dewa perang Scandinavia
Protactinium	From the Greek <i>protos</i> meaning first	Daripada Greek <i>protos</i> bermakna pertama
Uranium	Named after the planet Uranus	Dinamakan sempena planet Uranus
Neptunium	Named after the planet Neptune	Dinamakan sempena planet Neptun
Plutonium	Named after the planet Pluto	Dinamakan sempena planet Pluto
Americium	Named after America	Dinamakan sempena Amerika
